AppNexus ID;Lotame ID;Audience Name
1467021;16586;Offline Product Purchasers - Paper-Napkins
1467023;16659;Offline Product Purchasers - Paper-Pre-Moistened Towelettes
1467025;16540;Offline Product Purchasers - Paper-Towels
1467026;16485;Offline Product Purchasers - Pasta
1467027;16423;Offline Product Purchasers - Pet Care
1467028;16650;Offline Product Purchasers - Pet-Cat Food
1467029;16653;Offline Product Purchasers - Pet-Dog And Cat Treats
1467030;16632;Offline Product Purchasers - Pet-Dog Food
1467031;16748;Offline Product Purchasers - Pet-Other Food
1467032;16529;Offline Product Purchasers - Pickles, Olives, And Relish
1467033;16626;Offline Product Purchasers - Pizza/Snacks/Hors Doeurves-Frozen
1467034;16590;Offline Product Purchasers - Precut Fresh Salad Mix
1467035;16477;Offline Product Purchasers - Prepared Foods-Ready-To-Serve
1467037;16563;Offline Product Purchasers - Prepared Foods-Frozen
1467038;16582;Offline Product Purchasers - Prepared Foods-Other Dry Mixes
1467040;16538;Offline Product Purchasers - Prepared Foods-Pasta Mixes
1467041;16570;Offline Product Purchasers - Prepared Foods-Rice Mixes
1467042;16658;Offline Product Purchasers - Pudding, Desserts-Dairy
1467043;16687;Offline Product Purchasers - Razors And Blades
1467044;16736;Offline Product Purchasers - Refrigerated Combination Lunches
1467045;16692;Offline Product Purchasers - Refrigerated Entrees
1467061;16580;Offline Product Purchasers - Refrigerated Prepared Foods
1467063;16520;Offline Product Purchasers - Salad Dressing
1467065;16695;Offline Product Purchasers - Sandwiches-Refrigerated/Frozen
1467067;16636;Offline Product Purchasers - Femine Care / Sanitary Protection
1467068;16475;Offline Product Purchasers - Sauces-Other
1467069;16556;Offline Product Purchasers - Seafood - Canned
1467070;16691;Offline Product Purchasers - Shave Cream And Depilatories
1467071;16528;Offline Product Purchasers - Shortening, Oil
1467072;16619;Offline Product Purchasers - Skin Care Preparations
1467073;16588;Offline Product Purchasers - Snacks, Spreads, Dips-Dairy
1467074;16649;Offline Product Purchasers - Snacks-Corn Chips
1467076;16642;Offline Product Purchasers - Snacks-Dip
1467078;16729;Offline Product Purchasers - Snacks-Health Bars & Sticks
1467080;16693;Offline Product Purchasers - Snacks-Meat
1467082;16549;Offline Product Purchasers - Snacks-Popcorn
1467084;16471;Offline Product Purchasers - Snacks-Potato Chips & Sticks
1467086;16552;Offline Product Purchasers - Snacks-Pretzels
1467087;16564;Offline Product Purchasers - Snacks-Puffed Cheese
1467092;16554;Offline Product Purchasers - Snacks-Other or Remaining
1467094;16646;Offline Product Purchasers - Snacks-Sandwich Crackers & Snack Packs
1467096;16489;Offline Product Purchasers - Snacks-Tortilla Chips
1467097;16732;Offline Product Purchasers - Snacks-Trail Mix
1467098;16728;Offline Product Purchasers - Snacks-Variety Packs
1467099;16645;Offline Product Purchasers - Soap-Bar
1467100;16651;Offline Product Purchasers - Soap-Liquid
1467103;16657;Offline Product Purchasers - Soap-Specialty
1467105;16437;Offline Product Purchasers - Soft Drinks-Non-Carbonated
1467107;16468;Offline Product Purchasers - Soup
1467109;16523;Offline Product Purchasers - Spaghetti Sauce
1467111;16499;Offline Product Purchasers - Spices, Seasoning, Extracts
1467113;16618;Offline Product Purchasers - Stationery, School Supplies
1467114;16534;Offline Product Purchasers - Sugar, Sweeteners
1467116;16578;Offline Product Purchasers - Table Syrups, Molasses
1467117;16574;Offline Product Purchasers - Tea
1467118;16621;Offline Product Purchasers - Toaster Pastries
1467120;16655;Offline Product Purchasers - Tobacco & Accessories
1467121;16652;Offline Product Purchasers - Toothbrushes, Floss, Accessories
1467122;16568;Offline Product Purchasers - Toothpaste
1467123;16740;Offline Product Purchasers - Toys & Sporting Goods
1467127;16472;Offline Product Purchasers - Vegetables - Canned
1467129;16553;Offline Product Purchasers - Vegetables And Grains - Dried
1467130;16569;Offline Product Purchasers - Vegetables-Frozen
1467132;16617;Offline Product Purchasers - Vitamins
1467133;16579;Offline Product Purchasers - Wrapping Materials
1467134;16487;Offline Product Purchasers - Yogurt
643221;24600;Offline Home Improvement - Property Addition Remodel Alteration past 2 Yr
643229;24601;Offline Home Improvement - Property built past 12 months 
643236;24602;Offline Home Improvement - New Pool past 5 Yr 
643243;24603;Offline Home Improvement - Repaired last 5 Yr 
643279;24604;Offline Home Improvement - New Roof 
643280;24605;Offline Home Improvement - Electrical 
643288;24606;Offline Home Improvement - HVAC - Mechanical 
643294;24608;Offline Home Improvement - Updated Plumbing 
643300;24609;Offline Home Improvement - Demolition Work 
643303;24610;Offline Home Improvement - Solar Installment 
643314;24611;Offline Home Improvement - Security System 
643318;24612;Offline Home Improvement - In Market Improvement 
643324;24613;Offline Home Improvement - Job Cost $0-1000 
643334;24614;Offline Home Improvement - Job Cost $1k+ 
643340;24615;Offline Home Improvement - Job Cost $2500+ 
643346;24616;Offline Home Improvement - Job Cost $5k+ 
